year,month,day,hour,y_hat,y
2015.0,1.0,9.0,8.0,21183.342,20551.0
2015.0,1.0,9.0,9.0,21012.34,20511.0
2015.0,1.0,9.0,10.0,20435.41,20368.0
2015.0,1.0,9.0,11.0,19818.623,20062.0
2015.0,1.0,9.0,12.0,19194.857,19744.0
2015.0,1.0,9.0,13.0,18667.37,19498.0
2015.0,1.0,9.0,14.0,18181.75,19262.0
2015.0,1.0,9.0,15.0,17793.066,18980.0
2015.0,1.0,9.0,16.0,17428.102,18835.0
2015.0,1.0,9.0,17.0,17350.36,19084.0
2015.0,1.0,9.0,18.0,17794.87,20103.0
2015.0,1.0,9.0,19.0,18346.293,20727.0
2015.0,1.0,9.0,20.0,18240.451,20663.0
2015.0,1.0,9.0,21.0,18225.078,20643.0
2015.0,1.0,9.0,22.0,17780.738,20326.0
2015.0,1.0,9.0,23.0,17099.285,19803.0
2015.0,1.0,10.0,0.0,18290.73,19211.0
2015.0,1.0,10.0,1.0,17657.863,18944.0
2015.0,1.0,10.0,2.0,17326.494,18807.0
2015.0,1.0,10.0,3.0,17160.83,18794.0
2015.0,1.0,10.0,4.0,17111.58,18962.0
2015.0,1.0,10.0,5.0,17210.533,19227.0
2015.0,1.0,10.0,6.0,17480.328,19757.0
2015.0,1.0,10.0,7.0,17908.389,20330.0
2015.0,1.0,10.0,8.0,18575.146,21031.0
2015.0,1.0,10.0,9.0,19136.193,21314.0
2015.0,1.0,10.0,10.0,19373.604,20955.0
2015.0,1.0,10.0,11.0,19340.662,20430.0
2015.0,1.0,10.0,12.0,19127.92,19722.0
2015.0,1.0,10.0,13.0,18820.635,19050.0
2015.0,1.0,10.0,14.0,18503.2,18303.0
2015.0,1.0,10.0,15.0,18215.41,17847.0
2015.0,1.0,10.0,16.0,18091.52,17534.0
2015.0,1.0,10.0,17.0,18282.701,17830.0
2015.0,1.0,10.0,18.0,19068.186,18921.0
2015.0,1.0,10.0,19.0,19474.184,19549.0
2015.0,1.0,10.0,20.0,19001.05,19660.0
2015.0,1.0,10.0,21.0,18534.559,19581.0
2015.0,1.0,10.0,22.0,17947.611,19487.0
2015.0,1.0,10.0,23.0,17334.893,18991.0
2015.0,1.0,11.0,0.0,17692.607,18483.0
2015.0,1.0,11.0,1.0,17268.24,17996.0
2015.0,1.0,11.0,2.0,17120.12,17802.0
2015.0,1.0,11.0,3.0,17123.982,17701.0
2015.0,1.0,11.0,4.0,17213.74,17783.0
2015.0,1.0,11.0,5.0,17415.371,17895.0
2015.0,1.0,11.0,6.0,17783.02,18038.0
2015.0,1.0,11.0,7.0,18439.895,18329.0
2015.0,1.0,11.0,8.0,18941.664,18797.0
2015.0,1.0,11.0,9.0,19140.387,18954.0
2015.0,1.0,11.0,10.0,18987.326,18566.0
2015.0,1.0,11.0,11.0,18520.822,17929.0
2015.0,1.0,11.0,12.0,18005.408,17258.0
2015.0,1.0,11.0,13.0,17580.828,16818.0
2015.0,1.0,11.0,14.0,17194.156,16567.0
2015.0,1.0,11.0,15.0,16903.148,16313.0
2015.0,1.0,11.0,16.0,16834.832,16206.0
2015.0,1.0,11.0,17.0,17182.695,16608.0
2015.0,1.0,11.0,18.0,18174.24,17414.0
2015.0,1.0,11.0,19.0,18935.932,17854.0
2015.0,1.0,11.0,20.0,18941.557,17657.0
2015.0,1.0,11.0,21.0,18981.125,17480.0
2015.0,1.0,11.0,22.0,18506.197,16896.0
2015.0,1.0,11.0,23.0,17906.352,16283.0
2015.0,1.0,12.0,0.0,17710.857,15680.0
2015.0,1.0,12.0,1.0,17302.322,15353.0
